"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Rondale Moore","ARI","WR52","12.8","58.5","0.2","64.6","632.4","2.1","0.4","146.8"
"Samaje Perine","DEN","RB36","153.8","638.7","3.8","29.0","226.1","1.4","0.4","146.2"
"Odell Beckham Jr.","BAL","WR53","1.4","17.7","0.2","51.2","650.1","4.2","0.2","143.9"
"Brian Robinson Jr.","WAS","RB37","208.0","869.9","4.3","16.2","103.4","0.6","0.5","141.9"
"Romeo Doubs","GB","WR54","0.6","5.5","0.0","55.9","638.2","3.7","0.7","140.9"
"Tyler Higbee","LAR","TE10","0.0","0.5","0.0","61.3","575.8","3.5","0.1","139.9"
"Darnell Mooney","CHI","WR55","1.7","8.9","0.1","52.8","639.9","3.7","0.1","139.8"
"Michael Gallup","DAL","WR56","0.0","0.2","0.0","50.1","632.5","4.4","0.1","139.3"
"Adam Thielen","CAR","WR57","0.5","3.7","0.0","54.1","610.3","3.9","0.1","138.5"
"Hunter Renfrow","LV","WR58","0.4","3.7","0.0","61.1","578.9","3.2","0.5","137.2"
"David Njoku","CLE","TE11","0.0","5.2","0.0","52.8","578.2","4.5","0.4","137.2"
"Dalton Schultz","HOU","TE12","0.0","0.4","0.0","56.0","569.9","4.2","0.5","136.9"
"DJ Chark Jr.","CAR","WR59","0.1","1.1","0.0","46.6","688.3","3.5","0.1","136.4"
"Jamaal Williams","NO","RB38","155.5","719.6","5.8","16.6","116.3","0.5","0.9","135.9"
"DeVante Parker","NE","WR60","0.0","0.2","0.0","47.1","649.3","3.6","0.1","133.4"
"Kadarius Toney","KC","WR61","9.7","82.0","1.1","45.4","512.5","3.6","0.6","131.8"
"Jonathan Mingo","CAR","WR62","1.1","11.8","0.1","48.7","640.4","3.1","0.4","131.7"
"Marquez Valdes-Scantling","KC","WR63","0.6","1.7","0.0","42.4","657.2","3.8","0.1","130.8"
"Quentin Johnston","LAC","WR64","2.2","12.9","0.1","47.0","628.5","3.4","0.7","130.3"
"Curtis Samuel","WAS","WR65","25.8","140.8","0.8","47.5","485.7","2.4","0.5","128.6"
"Chigoziem Okonkwo","TEN","TE13","5.0","18.5","0.2","46.7","569.2","3.7","0.1","128.5"
"Marvin Mims Jr.","DEN","WR66","1.0","9.2","0.0","47.9","612.3","3.2","0.6","128.3"
"K.J. Osborn","MIN","WR67","2.8","13.9","0.1","49.5","540.2","3.8","0.2","128.0"
"Van Jefferson","LAR","WR68","0.6","4.3","0.0","44.7","615.2","3.4","0.1","126.9"
"Greg Dulcich","DEN","TE14","0.0","0.6","0.0","46.9","575.9","3.5","0.1","125.5"
"Gerald Everett","LAC","TE15","0.0","0.7","0.0","50.7","524.2","3.7","0.3","124.9"
"Cole Kmet","CHI","TE16","0.0","2.8","0.0","47.6","518.2","4.2","0.2","124.6"
"Jayden Reed","GB","WR69","3.2","20.1","0.1","46.8","580.0","2.9","0.7","123.6"
"Elijah Moore","CLE","WR70","5.7","29.2","0.2","45.0","575.7","2.8","0.1","123.5"
"Mecole Hardman Jr.","NYJ","WR71","7.4","52.1","0.7","44.9","506.7","2.9","0.7","121.3"
"Donovan Peoples-Jones","CLE","WR72","0.3","0.5","0.0","43.6","605.5","2.8","0.5","120.1"
"Dalton Kincaid","BUF","TE17","0.0","1.1","0.0","44.3","510.0","4.3","0.4","120.1"
"Kendrick Bourne","NE","WR73","5.0","35.2","0.2","47.0","542.9","2.3","0.3","119.4"
"Robert Woods","HOU","WR74","3.6","17.9","0.2","52.7","505.9","2.4","0.4","119.4"
"Jerick McKinnon","KC","RB39","59.5","228.9","1.6","37.8","314.8","2.7","0.2","118.0"
"Juwan Johnson","NO","TE18","0.0","0.3","0.0","41.3","489.0","4.3","0.1","115.7"
"Rashod Bateman","BAL","WR75","0.0","0.2","0.0","40.9","588.8","2.9","0.8","115.4"
"Isaiah Hodgins","NYG","WR76","0.0","0.6","0.0","44.9","481.6","3.8","0.6","114.5"
"Alec Pierce","IND","WR77","0.0","0.2","0.0","42.1","579.4","2.3","0.1","113.9"
"Sam LaPorta","DET","TE19","0.0","1.0","0.0","44.0","484.1","3.7","0.6","113.7"
"Zach Charbonnet","SEA","RB40","122.0","519.4","3.3","22.4","174.5","0.7","1.0","113.5"
"Rashaad Penny","PHI","RB41","147.4","709.0","4.7","8.3","53.6","0.2","0.7","112.8"
"Jaylen Warren","PIT","RB42","112.3","499.1","2.5","25.0","202.9","0.5","0.4","112.4"
"Noah Fant","SEA","TE20","0.0","0.8","0.0","45.2","467.4","3.0","0.1","109.8"
"Jameson Williams","DET","WR78","1.6","18.8","0.1","37.5","533.3","2.8","0.5","109.3"
"Hunter Henry","NE","TE21","0.0","0.5","0.0","42.3","497.1","2.9","0.1","109.3"
"Tyler Allgeier","ATL","RB43","143.2","659.7","3.3","12.2","88.6","0.5","0.3","109.1"
"Irv Smith Jr.","CIN","TE22","0.0","0.5","0.0","43.2","412.3","4.1","0.1","108.8"
"Elijah Mitchell","SF","RB44","135.7","606.1","3.8","12.8","89.6","0.6","0.3","108.1"
"Ezekiel Elliott","NE","RB45","135.4","519.3","4.1","17.2","115.5","0.5","0.7","106.6"
"Hayden Hurst","CAR","TE23","0.0","0.4","0.0","46.4","441.3","2.8","0.5","106.1"
"Mack Hollins","ATL","WR79","0.3","11.2","0.1","42.1","472.7","2.6","0.2","105.8"
"Cade Otton","TB","TE24","0.0","0.7","0.0","44.4","459.0","2.5","0.1","105.0"
"Darius Slayton","NYG","WR80","0.4","1.8","0.0","38.1","543.1","2.2","0.5","104.9"
"Tyler Conklin","NYJ","TE25","0.0","3.1","0.0","46.0","438.9","2.5","0.1","104.9"
"Marvin Jones Jr.","DET","WR81","0.1","0.5","0.0","38.4","479.1","3.1","0.1","104.6"
"Devin Singletary","HOU","RB46","121.2","501.6","2.6","22.7","156.1","0.3","1.1","103.8"
"De'Von Achane","MIA","RB47","111.7","450.9","3.0","20.7","166.6","0.8","0.9","103.7"
"Damien Harris","BUF","RB48","115.2","514.6","3.5","18.2","120.1","0.4","0.7","103.6"
"Rashid Shaheed","NO","WR82","3.2","37.4","0.7","34.3","492.5","2.1","0.1","103.4"
"Kenneth Gainwell","PHI","RB49","93.9","409.9","3.6","22.1","164.9","0.6","0.6","103.4"
